old_sat,new_sat,old_gpa,new_gpa,college_gpa
1270,1287,3.4,3.45,3.18
1220,1237,4,4,3.33
1160,1176,3.75,3.8,3.25
950,961,3.75,3.8,2.42
1070,1075,4,4,2.63
1110,1120,4,4,2.91
1220,1231,2.8,2.85,2.83
1150,1161,3.8,3.85,2.51
1440,1446,4,4,3.82
850,869,2.6,2.65,2.54
1280,1295,3.75,3.8,3.38
1020,1030,3.75,3.8,3.02
880,901,2.8,2.85,2.6
1080,1090,3.75,3.8,3.81
1200,1209,3.5,3.55,3.02
1120,1133,3.75,3.8,3.48
970,984,3.2,3.25,2.15
1210,1218,4,4,3.8
1030,1037,3.75,3.8,3.13
1020,1032,4,4,3.4
1400,1401,4,4,3.59
720,760,3.25,3.3,1.62
1170,1183,3.9,3.95,3.61
1070,1081,3.5,3.55,2.54
860,884,3.5,3.55,2.51
920,931,2,2.05,0
1350,1361,4,4,3.72
910,920,2.3,2.35,0.87
980,996,3.5,3.55,2.79
800,823,3.5,3.55,2
1070,1076,4,4,3.69
1320,1330,3.75,3.8,3.48
900,912,3,3.05,2.49
1200,1214,4,4,3.92
1260,1272,2.8,2.85,3.05
830,851,2.75,2.8,2.4
1330,1340,3.5,3.55,2.71
1070,1082,3.75,3.8,1.58
810,825,2,2.05,1.38
1240,1252,3.75,3.8,2.52
820,839,2.75,2.8,2.16
1140,1148,3,3.05,2.57
1170,1186,2.25,2.3,2.64
870,885,3.5,3.55,2.47
1010,1022,3,3.05,1
760,792,3,3.05,2.73
810,833,2.67,2.72,2.42
830,854,3,3.05,2.3
1240,1248,3.8,3.85,3.33
910,926,3.1,3.15,2.37
1230,1240,3,3.05,2.11
1100,1114,3,3.05,2.91
970,981,3,3.05,3.29
1090,1096,3.25,3.3,2.67
1300,1314,3.2,3.25,2.78
1070,1084,3.8,3.85,3.13
1040,1047,2.5,2.55,2.94
1320,1331,4,4,4
1230,1239,3.75,3.8,2.9
890,906,3.5,3.55,2.92
960,967,2.9,2.95,1.91
920,933,2.9,2.95,3.11
1260,1277,2.3,2.35,2.02
1060,1072,2.8,2.85,2.51
1040,1054,4,4,3.51
990,1002,4,4,3.24
1040,1046,3.8,3.85,2.02
1300,1312,4,4,2.65
950,959,3.25,3.3,1.74
1090,1102,2.7,2.75,1.54
1020,1034,3.5,3.55,2.34
1270,1284,3,3.05,2.49
1160,1170,3.25,3.3,2.49
1050,1060,2.75,2.8,2.08
1130,1142,3,3.05,2.19
880,903,2.5,2.55,1.8
750,786,2.8,2.85,2.22
1200,1217,3.5,3.55,2.95
1010,1017,3.25,3.3,2.67
1060,1069,4,4,2.89
1010,1017,3.5,3.55,2.66
1080,1085,3,3.05,2.18
1090,1101,3.5,3.55,2.81
940,954,3.75,3.8,2.06
1170,1181,4,4,2.8
920,932,3,3.05,2.59
990,1006,3.5,3.55,2.33
1100,1111,4,4,3.55
1270,1283,4,4,2.75
930,945,3.75,3.8,3.59
790,828,3.25,3.3,1.54
1080,1086,3.75,3.8,2.98
740,778,3,3.05,1.28
960,973,2.5,2.55,1.24
1170,1181,4,4,2.93
1050,1063,3.75,3.8,2.48
1250,1264,4,4,2.98
1090,1103,2.7,2.75,1.17
1010,1017,3.5,3.55,2.04
1200,1213,3.2,3.25,2.37
1080,1093,3.5,3.55,3
1200,1211,2.75,2.8,2.98
1070,1083,3.4,3.45,2.55
970,979,2.8,2.85,1.86
1140,1149,2,2.05,2.09
1360,1375,4,4,2.89
1260,1271,4,4,3.38
1170,1178,3.9,3.95,3.94
1160,1171,3,3.05,2.28
1310,1322,3,3.05,2.43
1090,1098,4,4,2.77
1040,1048,2,2.05,3.33
1070,1076,3,3.05,2.39
890,906,3.7,3.75,2.37
1280,1290,4,4,3.82
1270,1287,3.75,3.8,3.63
1190,1203,2.5,2.55,1.78
1070,1084,3,3.05,3.22
1410,1409,3.5,3.55,2.42
1250,1259,4,4,3.82
1070,1083,4,4,3.6
910,923,3.75,3.8,1.84
1230,1239,3.5,3.55,3.3
1290,1307,3.8,3.85,3.7
1100,1116,3,3.05,2.89
820,836,2.3,2.35,2.38
990,1003,3.75,3.8,2.97
1010,1022,4,4,3.37
1210,1227,3.75,3.8,3.18
860,883,3,3.05,1.33
1210,1219,4,4,3
1240,1251,4,4,3.75
970,978,2.6,2.65,2.24
930,946,2.75,2.8,2.44
1250,1260,2.5,2.55,2.72
1200,1213,2.5,2.55,1.69
1110,1124,3.75,3.8,3.19
850,866,3.5,3.55,3.1
1130,1139,4,4,2.71
1370,1377,4,4,3.45
970,977,3.25,3.3,3.36
980,988,3.2,3.25,1
1240,1254,3.75,3.8,3.08
1040,1051,2.75,2.8,3.16
1330,1339,3.75,3.8,3.66
1220,1235,4,4,3.82
1340,1351,3.75,3.8,3.94
1160,1167,3.75,3.8,3.79
1030,1040,3.25,3.3,2.91
950,957,3,3.05,2.33
1000,1010,3.5,3.55,3.06
1020,1034,3,3.05,1.91
990,1006,3,3.05,2.47
1140,1147,3.5,3.55,2.96
1090,1101,3.67,3.72,2.13
700,741,2.4,2.45,1.98
1230,1243,3.5,3.55,3.64
1030,1042,2,2.05,0.6
870,892,3,3.05,2.39
1130,1144,3.5,3.55,1.95
1150,1159,4,4,3.37
930,937,4,4,3.02
880,895,3,3.05,1.03
1050,1064,4,4,3.42
1230,1238,4,4,3.31
1370,1378,3.5,3.55,2.31
1230,1240,4,4,2.61
900,914,2,2.05,0
1330,1339,3.7,3.75,3.24
1120,1135,4,4,3.48
710,748,2.8,2.85,2.26
920,933,3.25,3.3,2.4
1110,1120,3.75,3.8,3.76
1100,1108,2.75,2.8,1.14
1070,1079,2.25,2.3,1.47
970,978,3,3.05,2
1020,1030,2.25,2.3,1.13
900,913,2.5,2.55,1.7
860,882,2,2.05,1.14
1030,1037,3.2,3.25,2.54
1020,1027,2.5,2.55,1.64
880,898,2.5,2.55,2.95
1220,1236,3,3.05,3.17
880,900,4,4,1.12
930,942,2.5,2.55,1.72
1040,1053,2.3,2.35,1.91
940,953,2.9,2.95,3
1120,1132,2.75,2.8,3.2
1310,1317,3,3.05,3.25
1280,1288,3.2,3.25,2.26
900,912,3,3.05,2.73
1150,1166,3.4,3.45,2.47
1190,1204,4,4,3.19
920,927,3.5,3.55,1.38
1090,1104,3.25,3.3,2.8
1130,1139,3.4,3.45,2.52
1080,1087,2.75,2.8,2.53
